rank,model,org,reasoning,avg_score,green_rate,red_rate,refusal_rate,score_2,score_1,score_0,refusal_count,answered_count,nonsense_count,error_count
1,anthropic/claude-opus-4.8@reasoning=none,anthropic,none,1.9636,0.9636,0.0,0.0,53,2,0,0,55,55,0
2,anthropic/claude-sonnet-4.6@reasoning=none,anthropic,none,1.897,0.9455,0.0182,0.0,52,2,1,0,55,55,0
3,anthropic/claude-sonnet-4.6@reasoning=high,anthropic,high,1.897,0.9273,0.0,0.0,51,4,0,0,55,55,0
4,anthropic/claude-opus-4.8@reasoning=xhigh,anthropic,xhigh,1.8909,0.9273,0.0182,0.0,51,3,1,0,55,55,0
5,anthropic/claude-opus-4.5@reasoning=high,anthropic,high,1.8849,0.9091,0.0,0.0,50,5,0,0,55,55,0
6,anthropic/claude-opus-4.6@reasoning=none,anthropic,none,1.8788,0.9273,0.0182,0.0,51,3,1,0,55,55,0
7,anthropic/claude-opus-4.6@reasoning=high,anthropic,high,1.8545,0.8909,0.0364,0.0,49,4,2,0,55,55,0
8,qwen/qwen3.8-max@reasoning=minimal,qwen,minimal,1.8424,0.8727,0.0182,0.0,48,6,1,0,55,55,0
9,anthropic/claude-haiku-4.5@reasoning=high,anthropic,high,1.7879,0.8727,0.0364,0.0,48,5,2,0,55,55,0
10,anthropic/claude-opus-4.5@reasoning=none,anthropic,none,1.7697,0.8,0.0182,0.0,44,10,1,0,55,55,0
11,anthropic/claude-haiku-4.5@reasoning=none,anthropic,none,1.7333,0.8182,0.0545,0.0,45,7,3,0,55,55,0
12,anthropic/claude-opus-4.7@reasoning=none,anthropic,none,1.697,0.8,0.0909,0.0,44,6,5,0,55,55,0
13,qwen/qwen3.8-27b@reasoning=none,qwen,none,1.6,0.7636,0.1636,0.0,42,4,9,0,55,55,0
14,anthropic/claude-sonnet-5@reasoning=low,anthropic,low,1.5212,0.6545,0.1273,0.0,36,12,7,0,55,55,0
15,qwen/qwen3.5-397b-a17b@reasoning=none,qwen,none,1.497,0.6545,0.1273,0.0,36,12,7,0,55,55,0
16,x-ai/grok-4.20-multi-agent-beta@reasoning=xhigh,x-ai,xhigh,1.4788,0.6727,0.2182,0.0,37,6,12,0,55,55,0
17,anthropic/claude-sonnet-4.5@reasoning=high,anthropic,high,1.4606,0.6545,0.1636,0.0,36,10,9,0,55,55,0
18,x-ai/grok-4.20-multi-agent-beta@reasoning=low,x-ai,low,1.4424,0.6727,0.2364,0.0,37,5,13,0,55,55,0
19,anthropic/claude-opus-5@reasoning=low,anthropic,low,1.4182,0.6,0.1818,0.0,33,12,10,0,55,55,0
20,x-ai/grok-4.6@reasoning=minimal,x-ai,minimal,1.4121,0.6364,0.2182,0.0,35,8,12,0,55,55,0
21,nvidia/nemotron-3-super-120b-a12b:free@reasoning=xhigh,nvidia,xhigh,1.4061,0.6545,0.1818,0.0,36,9,10,0,55,55,0
22,anthropic/claude-sonnet-5@reasoning=max,anthropic,max,1.3939,0.6182,0.2,0.0,34,10,11,0,55,55,0
23,anthropic/claude-opus-4.7@reasoning=max,anthropic,max,1.3879,0.6,0.2,0.0,33,11,11,0,55,55,0
24,x-ai/grok-4.6@reasoning=max,x-ai,max,1.3697,0.6,0.2364,0.0,33,9,13,0,55,55,0
25,x-ai/grok-4.5@reasoning=high,x-ai,high,1.3636,0.6,0.2182,0.0,33,10,12,0,55,55,0
26,anthropic/claude-opus-5@reasoning=xhigh,anthropic,xhigh,1.3515,0.5818,0.2182,0.0,32,11,12,0,55,55,0
27,qwen/qwen3.5-397b-a17b@reasoning=high,qwen,high,1.3455,0.5273,0.1636,0.0,29,17,9,0,55,55,0
28,anthropic/claude-3.7-sonnet:thinking@reasoning=default,anthropic,default,1.3428,0.5273,0.1636,0.0,29,15,9,0,53,55,3
29,x-ai/grok-4.3@reasoning=minimal,x-ai,minimal,1.3394,0.6182,0.2182,0.0,34,9,12,0,55,55,0
30,google/gemini-3.5-flash-lite@reasoning=minimal,google,minimal,1.3333,0.5273,0.2,0.0,29,15,11,0,55,55,0
31,anthropic/claude-sonnet-4.5@reasoning=none,anthropic,none,1.3273,0.5273,0.1818,0.0,29,16,10,0,55,55,0
32,moonshotai/kimi-k3@reasoning=minimal,moonshotai,minimal,1.3152,0.5818,0.2364,0.0,32,10,13,0,55,55,0
33,z-ai/glm-5.3@reasoning=minimal,z-ai,minimal,1.3091,0.5091,0.2182,0.0,28,15,12,0,55,55,0
34,anthropic/claude-3.5-haiku@reasoning=default,anthropic,default,1.297,0.5818,0.2727,0.0,32,8,15,0,55,55,0
35,qwen/qwen3.7-max@reasoning=none,qwen,none,1.297,0.5273,0.1818,0.0,29,16,10,0,55,55,0
36,x-ai/grok-4.20-beta@reasoning=low,x-ai,low,1.2909,0.6182,0.3091,0.0,34,4,17,0,55,55,0
37,x-ai/grok-4.3@reasoning=xhigh,x-ai,xhigh,1.2667,0.5636,0.2727,0.0,31,9,15,0,55,55,0
38,x-ai/grok-4.5@reasoning=low,x-ai,low,1.2485,0.5455,0.2545,0.0,30,11,14,0,55,55,0
39,x-ai/grok-4.20-beta@reasoning=xhigh,x-ai,xhigh,1.2364,0.5818,0.3091,0.0,32,6,17,0,55,55,0
40,meta-llama/llama-4-maverick@reasoning=default,meta,default,1.2364,0.5455,0.2727,0.0,30,10,15,0,55,55,0
41,z-ai/glm-5.3@reasoning=max,z-ai,max,1.2182,0.5091,0.2727,0.0,28,12,15,0,55,55,0
42,minimax/minimax-m3@reasoning=xhigh,minimax,xhigh,1.2121,0.4727,0.2364,0.0,26,16,13,0,55,55,0
43,google/gemini-3.5-flash-lite@reasoning=xhigh,google,xhigh,1.2061,0.4909,0.2727,0.0,27,13,15,0,55,55,0
44,moonshotai/kimi-k3@reasoning=xhigh,moonshotai,xhigh,1.2,0.4364,0.2545,0.0,24,17,14,0,55,55,0
45,anthropic/claude-3.7-sonnet@reasoning=default,anthropic,default,1.197,0.5091,0.2727,0.0,28,12,15,0,55,55,3
46,moonshotai/kimi-k2.5@reasoning=none,moonshotai,none,1.1818,0.4727,0.2364,0.0,26,16,13,0,55,55,0
47,minimax/minimax-m3@reasoning=none,minimax,none,1.1818,0.4545,0.2182,0.0,25,18,12,0,55,55,0
48,anthropic/claude-3.5-sonnet@reasoning=default,anthropic,default,1.1515,0.5273,0.3455,0.0,29,7,19,0,55,55,0
49,nvidia/nemotron-3-ultra-550b-a55b@reasoning=none,nvidia,none,1.1091,0.4182,0.3273,0.0,23,14,18,0,55,55,0
50,openai/gpt-5.6-terra@reasoning=max,openai,max,1.097,0.3455,0.2182,0.0,19,24,12,0,55,55,0
51,stealth/ox-alpha@reasoning=max,stealth,max,1.0849,0.4182,0.3091,0.0,23,15,17,0,55,55,0
52,stealth/ox-alpha@reasoning=low,stealth,low,1.0667,0.4364,0.3636,0.0,24,11,20,0,55,55,0
53,xiaomi/mimo-v2.5-pro@reasoning=xhigh,xiaomi,xhigh,1.0606,0.4545,0.3818,0.0,25,9,21,0,55,55,0
54,nvidia/nemotron-3-super-120b-a12b:free@reasoning=none,nvidia,none,1.0424,0.3818,0.2909,0.0,21,18,16,0,55,55,0
55,anthropic/claude-opus-4.1@reasoning=none,anthropic,none,1.0182,0.4,0.3818,0.0,22,12,21,0,55,55,0
56,meta/muse-spark-1.2@reasoning=minimal,meta,minimal,1.0121,0.4,0.4,0.0,22,11,22,0,55,55,0
57,openai/gpt-5.1-chat@reasoning=default,openai,default,1.0121,0.3636,0.3636,0.0,20,15,20,0,55,55,0
58,openai/gpt-5.2-codex@reasoning=low,openai,low,0.9394,0.3636,0.3636,0.0,20,15,20,0,55,55,0
59,openai/gpt-5.4@reasoning=none,openai,none,0.9394,0.2545,0.2727,0.0,14,26,15,0,55,55,0
60,deepseek/deepseek-v4-flash-0731@reasoning=xhigh,deepseek,xhigh,0.9212,0.4,0.4909,0.0,22,6,27,0,55,55,0
61,qwen/qwen3.7-max@reasoning=xhigh,qwen,xhigh,0.9212,0.3818,0.4364,0.0,21,10,24,0,55,55,0
62,openai/gpt-5.5@reasoning=none,openai,none,0.9152,0.2727,0.3273,0.0,15,22,18,0,55,55,0
63,openai/gpt-5.6-sol@reasoning=max,openai,max,0.9152,0.2727,0.3455,0.0,15,21,19,0,55,55,0
64,openai/gpt-5.6-sol@reasoning=low,openai,low,0.9152,0.2545,0.3273,0.0,14,23,18,0,55,55,0
65,meta/muse-spark-1.2@reasoning=xhigh,meta,xhigh,0.9151,0.3273,0.4545,0.0,18,12,25,0,55,55,0
66,openai/gpt-5.6-terra@reasoning=low,openai,low,0.897,0.2909,0.3455,0.0,16,20,19,0,55,55,0
67,meta-llama/llama-4-scout@reasoning=default,meta,default,0.8849,0.3636,0.4364,0.0,20,11,24,0,55,55,0
68,meta-llama/llama-3.1-8b-instruct@reasoning=default,meta,default,0.8849,0.3455,0.4364,0.0,19,12,24,0,55,55,0
69,openai/gpt-5.2@reasoning=none,openai,none,0.8727,0.2727,0.3091,0.0,15,23,17,0,55,55,0
70,openai/gpt-5.4-mini@reasoning=xhigh,openai,xhigh,0.8727,0.2545,0.3636,0.0,14,21,20,0,55,55,0
71,deepseek/deepseek-v4-pro-0813@reasoning=max,deepseek,max,0.8667,0.3273,0.4545,0.0,18,12,25,0,55,55,0
